ResponseId,Progress,RecordedDate,StartDate,EndDate,Finished,Duration_in_seconds,filename,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA,bslnB,cntrQ,FirstClick,LastClick,PageSubmit,QuestionA,TrustA,QuestionB,TrustB
R_3iECfulePwymQNr,100,10/04/2021 07:28,10/04/2021 07:21,10/04/2021 07:28,True,391,idc1-eC-gO-qry_rO_gte_1-flips_h0v0-nMasks_2-dMask_easy-dCmplx_EEE-fcs_WHAT_Qn-bsln_t_t-cntrQ_244,1,electricity consumption,gps on,radio on gte 1,h0v0,2,easy,E,E,E,WHAT_Qn,1,1,244,13.29995909,20.80296286,21.74034198,-1,5,1,1
R_3iECfulePwymQNr,100,10/04/2021 07:28,10/04/2021 07:21,10/04/2021 07:28,True,391,idc68-fC-gO-qry_rO_gte_1-flips_h0v0-nMasks_3-dMask_easy-dCmplx_HMH-fcs_WHAT_Qn-bsln_f_f-cntrQ_245,68,fuel consumption,gps on,radio on gte 1,h0v0,3,easy,H,M,H,WHAT_Qn,-1,-1,245,3.318782116,5.884324791,17.44339338,0,5,1,2
R_3iECfulePwymQNr,100,10/04/2021 07:28,10/04/2021 07:21,10/04/2021 07:28,True,391,idc29-eG-rO-qry_gO_gte_1-flips_h0v0-nMasks_2-dMask_easy-dCmplx_MEH-fcs_WHAT_Qn-bsln_f_f-cntrQ_246,29,engine temperature,radio on,gps on gte 1,h0v0,2,easy,M,E,H,WHAT_Qn,-1,-1,246,1.453195981,6.043276979,14.56415248,1,3,1,0
R_3iECfulePwymQNr,100,10/04/2021 07:28,10/04/2021 07:21,10/04/2021 07:28,True,391,idc69-eG-rO-qry_fC_gte_97.25-flips_h0v0-nMasks_3-dMask_easy-dCmplx_HMH-fcs_WHAT_Qn-bsln_t_t-cntrQ_247,69,engine temperature,radio on,fuel consumption gte 97.25,h0v0,3,easy,H,M,H,WHAT_Qn,1,1,247,0,0,22.169,-1,3,1,3
R_3iECfulePwymQNr,100,10/04/2021 07:28,10/04/2021 07:21,10/04/2021 07:28,True,391,idc14-eG-gO-qry_fC_gte_104.62-flips_h0v0-nMasks_3-dMask_easy-dCmplx_EME-fcs_WHAT_Qn-bsln_f_f-cntrQ_248,14,engine temperature,gps on,fuel consumption gte 104.62,h0v0,3,easy,E,M,E,WHAT_Qn,-1,-1,248,16.46829785,20.64020923,22.60589936,0,3,-1,2
R_3iECfulePwymQNr,100,10/04/2021 07:28,10/04/2021 07:21,10/04/2021 07:28,True,391,idc31-eC-gO-qry_rO_gte_1-flips_h0v0-nMasks_4-dMask_easy-dCmplx_MME-fcs_WHAT_Qn-bsln_f_t-cntrQ_249,31,electricity consumption,gps on,radio on gte 1,h0v0,4,easy,M,M,E,WHAT_Qn,-1,1,249,9.069142639,12.24699805,23.76043368,1,2,1,5
R_3iECfulePwymQNr,100,10/04/2021 07:28,10/04/2021 07:21,10/04/2021 07:28,True,391,idc4-sF-gO-qry_rO_gte_1-flips_h0v0-nMasks_3-dMask_easy-dCmplx_EEE-fcs_WHAT_Qn-bsln_t_f-cntrQ_250,4,suspension force,gps on,radio on gte 1,h0v0,3,easy,E,E,E,WHAT_Qn,1,-1,250,7.409797617,11.56194868,24.04947858,1,2,-1,1
R_3iECfulePwymQNr,100,10/04/2021 07:28,10/04/2021 07:21,10/04/2021 07:28,True,391,idc39-eG-wO-qry_fC_gte_98.05-flips_h0v0-nMasks_2-dMask_easy-dCmplx_EHE-fcs_WHAT_Qn-bsln_t_t-cntrQ_251,39,engine temperature,wiper on,fuel consumption gte 98.05,h0v0,2,easy,E,H,E,WHAT_Qn,1,1,251,15.03903737,18.93153135,22.6737898,1,5,0,4
R_3iECfulePwymQNr,100,10/04/2021 07:28,10/04/2021 07:21,10/04/2021 07:28,True,391,idc33-eG-gO-qry_fC_gte_103.87-flips_h0v0-nMasks_3-dMask_easy-dCmplx_MME-fcs_WHAT_Qn-bsln_f_f-cntrQ_252,33,engine temperature,gps on,fuel consumption gte 103.87,h0v0,3,easy,M,M,E,WHAT_Qn,-1,-1,252,5.458743278,10.07541377,17.968035,1,4,-1,5
R_3iECfulePwymQNr,100,10/04/2021 07:28,10/04/2021 07:21,10/04/2021 07:28,True,391,idc63-eG-gO-qry_fC_gte_100.13-flips_h0v0-nMasks_3-dMask_easy-dCmplx_MHM-fcs_WHAT_Qn-bsln_f_f-cntrQ_253,63,engine temperature,gps on,fuel consumption gte 100.13,h0v0,3,easy,M,H,M,WHAT_Qn,-1,-1,253,13.50396901,22.87344442,27.78880713,0,0,0,2
