StartDate,EndDate,Status,IPAddress,Progress,Duration_in_seconds,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA1,bslnA2,bslnA3,bslnB,cntrQ,dComplex_focus,info_focus_dComplex_dMask,info_dComplex_dMask,trustB,t,answerA1,diffA1,answerA2,diffA2,answerA3,diffA3,answerB,correctB,trustA1,trustA2,trustA3,uniqueCntrQuestion
"30/10/2021 18:49","30/10/2021 19:08","IP Address","142.114.239.249","100","1188","True","30/10/2021 19:08","R_1gU3juv2DjSXZs2","43.66549683","-79.42040253","anonymous","EN",29,"engine temperature","radio on","wiper on gte 1","h0v0",4,"easy","E","H","E","WHAT_Qn",31.48,34.69,64.97,1,270,"E","WHAT_Qn_E_E","E_E","4","90.005","33",-1.5199999999999996,"36",-1.3100000000000023,"66",-1.0300000000000011,"Neither agree nor disagree",0,"4","3","4",0
"30/10/2021 18:49","30/10/2021 19:08","IP Address","142.114.239.249","100","1188","True","30/10/2021 19:08","R_1gU3juv2DjSXZs2","43.66549683","-79.42040253","anonymous","EN",59,"electricity consumption","radio on","wiper on gte 1","h0v0",9,"medium","M","M","M","WHAT_Qn",66.35,64.01,65.98,1,337,"M","WHAT_Qn_M_M","M_M","5","188.571","60",6.349999999999994,"70",-5.989999999999995,"82",-16.019999999999996,"Neither agree nor disagree",0,"5","5","5",1
"30/10/2021 18:49","30/10/2021 19:08","IP Address","142.114.239.249","100","1188","True","30/10/2021 19:08","R_1gU3juv2DjSXZs2","43.66549683","-79.42040253","anonymous","EN",67,"electricity consumption","wiper on","heating on gte 1","h0v0",12,"hard","H","M","H","WHAT_Qn",54.72,56.78,64.39,-1,418,"H","WHAT_Qn_H_H","H_H","2","95.134","55",-0.28000000000000114,"62",-5.219999999999999,"57",7.390000000000001,"Disagree",1,"5","5","3",2
"30/10/2021 18:49","30/10/2021 19:08","IP Address","142.114.239.249","100","1188","True","30/10/2021 19:08","R_1gU3juv2DjSXZs2","43.66549683","-79.42040253","anonymous","EN",67,"electricity consumption","wiper on","radio on gte 1","h0v0",2,"easy","H","M","H","WHAT_Ql",18.24,20.17,77.25,-1,283,"M","WHAT_Ql_M_E","M_E","5","125.353","57",-38.760000000000005,"18",2.1700000000000017,"77",0.25,"Agree",0,"4","5","5",3
"30/10/2021 18:49","30/10/2021 19:08","IP Address","142.114.239.249","100","1188","True","30/10/2021 19:08","R_1gU3juv2DjSXZs2","43.66549683","-79.42040253","anonymous","EN",1,"electricity consumption","gps on","wiper on gte 1","h0v0",1,"easy","E","E","E","WHAT_Ql",29.9,78.73,29.9,1,364,"E","WHAT_Ql_E_E","E_E","3","65.727","79",-49.1,"83",-4.269999999999996,"35",-5.100000000000001,"Agree",1,"0","5","5",4
"30/10/2021 18:49","30/10/2021 19:08","IP Address","142.114.239.249","100","1188","True","30/10/2021 19:08","R_1gU3juv2DjSXZs2","43.66549683","-79.42040253","anonymous","EN",67,"electricity consumption","wiper on","heating on gte 1","h0v0",13,"hard","H","M","H","WHAT_Ql",13.73,20.17,63.51,1,433,"M","WHAT_Ql_M_H","M_H","4","62.456","35",-21.27,"41",-20.83,"73",-9.490000000000002,"Neither agree nor disagree",0,"0","4","4",5
"30/10/2021 18:49","30/10/2021 19:08","IP Address","142.114.239.249","100","1188","True","30/10/2021 19:08","R_1gU3juv2DjSXZs2","43.66549683","-79.42040253","anonymous","EN",29,"engine temperature","radio on","wiper on gte 1","h0v0",4,"easy","E","H","E","WHAT_Qn",31.48,34.69,64.97,1,310,"E","WHAT_Qn_E_E","E_E","3","117.82","61",-29.52,"56",-21.310000000000002,"82",-17.03,"Neither agree nor disagree",0,"2","2","5",6
"30/10/2021 18:49","30/10/2021 19:08","IP Address","142.114.239.249","100","1188","True","30/10/2021 19:08","R_1gU3juv2DjSXZs2","43.66549683","-79.42040253","anonymous","EN",29,"engine temperature","radio on","heating on gte 1","h0v0",2,"easy","E","H","E","WHAT_Ql",29.01,71.6,38.06,-1,385,"H","WHAT_Ql_H_E","H_E","5","95.785","47",-17.99,"78",-6.400000000000006,"46",-7.939999999999998,"Disagree",1,"4","4","4",7
"30/10/2021 18:49","30/10/2021 19:08","IP Address","142.114.239.249","100","1188","True","30/10/2021 19:08","R_1gU3juv2DjSXZs2","43.66549683","-79.42040253","anonymous","EN",4,"suspension force","gps on","wiper on gte 1","h0v0",9,"medium","H","E","E","WHAT_Qn",75.62,76.69,37.87,1,466,"H","WHAT_Qn_H_M","H_M","4","54.235","72",3.6200000000000045,"72",4.689999999999998,"47",-9.130000000000003,"Neither agree nor disagree",0,"3","4","2",8
"30/10/2021 18:48","30/10/2021 19:16","IP Address","204.83.58.114","100","1658","True","30/10/2021 19:16","R_21vrDYRvzcIvzN7","50.38960266","-105.5614014","anonymous","EN",1,"electricity consumption","gps on","radio on gte 1","h0v0",4,"easy","E","E","E","WHAT_Qn",47.05,42.6,14.24,1,244,"E","WHAT_Qn_E_E","E_E","3","128.117","43",4.049999999999997,"42",0.6000000000000014,"12",2.24,"Disagree",0,"3","2","4",9
"30/10/2021 18:48","30/10/2021 19:16","IP Address","204.83.58.114","100","1658","True","30/10/2021 19:16","R_21vrDYRvzcIvzN7","50.38960266","-105.5614014","anonymous","EN",4,"suspension force","gps on","wiper on gte 1","h0v0",5,"medium","H","E","E","WHAT_Qn",67.58,76.69,11.17,-1,331,"H","WHAT_Qn_H_M","H_M","5","107.504","64",3.5799999999999983,"73",3.6899999999999977,"11",0.16999999999999993,"Neither agree nor disagree",0,"3","3","4",10
"30/10/2021 18:48","30/10/2021 19:16","IP Address","204.83.58.114","100","1658","True","30/10/2021 19:16","R_21vrDYRvzcIvzN7","50.38960266","-105.5614014","anonymous","EN",67,"electricity consumption","wiper on","heating on gte 1","h0v0",13,"hard","H","M","H","WHAT_Qn",54.31,56.78,64.13,-1,408,"H","WHAT_Qn_H_H","H_H","5","174.758","59",-4.689999999999998,"60",-3.219999999999999,"58",6.1299999999999955,"Disagree",1,"3","3","3",11
