StartDate,EndDate,Status,IPAddress,Progress,Duration_in_seconds,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA1,bslnA2,bslnA3,bslnB,cntrQ,dComplex_focus,info_focus_dComplex_dMask,info_dComplex_dMask,trustB,t,answerA1,diffA1,log_diffA1,answerA2,diffA2,log_diffA2,answerA3,diffA3,log_diffA3,answerB,correctB,trustA1,trustA2,trustA3,flip,passedIntroQuestions,prolificId,impossibleQualAnswer,stimuliAllTrust0or5,responseAllTrust0or5,uniqueCntrQuestion
"14/11/2021 07:59","14/11/2021 08:23","IP Address","213.205.241.238","100","1450","TRUE","14/11/2021 08:23","R_2dzpgZL5zizSszf","51.51199341","0.007598877","anonymous","EN",1,"electricity consumption","gps on","wiper on gte 1","h1v1",6,"medium","E","E","E","WHAT_Qn",35.07,42.6,25.15,1,18,"E","WHAT_Qn_E_M","E_M","0","21.997","19",16.07,4.017476563020462,"32",10.600000000000001,3.4229057426121834,"23",2.1499999999999986,1.185866545311333,"Neither agree nor disagree",0,"0","0","0","f",false,"0xd07c586e8691aa3D2086F26ACF7ad183adCf37b6","",true,false,0
"14/11/2021 07:59","14/11/2021 08:23","IP Address","213.205.241.238","100","1450","TRUE","14/11/2021 08:23","R_2dzpgZL5zizSszf","51.51199341","0.007598877","anonymous","EN",31,"electricity consumption","gps on","wiper on gte 1","h1v1",3,"easy","M","H","E","WHAT_Qn",42.57,44.19,28.49,-1,87,"M","WHAT_Qn_M_E","M_E","1","27.964","28",14.57,3.877253453876608,"24",20.189999999999998,4.344473459456363,"24",4.489999999999998,2.206330647871049,"Neither agree nor disagree",0,"1","1","1","f",false,"0xd07c586e8691aa3D2086F26ACF7ad183adCf37b6","",false,false,1
"14/11/2021 07:59","14/11/2021 08:23","IP Address","213.205.241.238","100","1450","TRUE","14/11/2021 08:23","R_2dzpgZL5zizSszf","51.51199341","0.007598877","anonymous","EN",39,"engine temperature","wiper on","gps on gte 1","h1v1",9,"hard","H","M","E","WHAT_Qn",63.62,64.94,25.67,-1,183,"H","WHAT_Qn_H_H","H_H","2","191.168","53",10.619999999999997,3.4255935776530584,"64",0.9399999999999977,0.09085343045111047,"17",8.670000000000002,3.1366835776972364,"Agree",0,"2","2","0","f",false,"0xd07c586e8691aa3D2086F26ACF7ad183adCf37b6","",false,false,2
"14/11/2021 07:59","14/11/2021 08:23","IP Address","213.205.241.238","100","1450","TRUE","14/11/2021 08:23","R_2dzpgZL5zizSszf","51.51199341","0.007598877","anonymous","EN",1,"electricity consumption","gps on","wiper on gte 1","h1v1",6,"medium","E","E","E","WHAT_Ql",23.83,78.74,29.21,-1,45,"E","WHAT_Ql_E_M","E_M","2","61.725","80",-56.17,5.814934885833408,"77",1.7399999999999949,0.8991756304805091,"29",0.21000000000000085,-1.5777669993169485,"Neither agree nor disagree",0,"4","4","2","f",false,"0xd07c586e8691aa3D2086F26ACF7ad183adCf37b6",true,false,false,3
"14/11/2021 07:59","14/11/2021 08:23","IP Address","213.205.241.238","100","1450","TRUE","14/11/2021 08:23","R_2dzpgZL5zizSszf","51.51199341","0.007598877","anonymous","EN",32,"suspension force","radio on","wiper on gte 1","h1v1",6,"medium","E","M","M","WHAT_Ql",14.35,56.71,23.06,-1,118,"M","WHAT_Ql_M_M","M_M","2","20.945","10",4.35,2.1618876823768938,"40",16.71,4.073391816052921,"23",0.05999999999999872,-2.434402824145785,"Neither agree nor disagree",0,"2","2","2","f",false,"0xd07c586e8691aa3D2086F26ACF7ad183adCf37b6",false,false,false,4
"14/11/2021 07:59","14/11/2021 08:23","IP Address","213.205.241.238","100","1450","TRUE","14/11/2021 08:23","R_2dzpgZL5zizSszf","51.51199341","0.007598877","anonymous","EN",34,"suspension force","gps on","wiper on gte 1","h1v1",9,"hard","E","H","H","WHAT_Ql",4.2,21.45,17.95,1,209,"H","WHAT_Ql_H_H","H_H","2","41.731","14",-9.8,3.3110671022555955,"21",0.4499999999999993,-0.7983661388303512,"15",2.9499999999999993,1.6205864104518772,"Neither agree nor disagree",0,"3","3","2","f",false,"0xd07c586e8691aa3D2086F26ACF7ad183adCf37b6",false,false,false,5
"14/11/2021 07:59","14/11/2021 08:23","IP Address","213.205.241.238","100","1450","TRUE","14/11/2021 08:23","R_2dzpgZL5zizSszf","51.51199341","0.007598877","anonymous","EN",68,"fuel consumption","gps on","wiper on gte 1","h1v1",6,"medium","E","M","E","WHERE",11.98,16.09,38.74,1,64,"E","WHERE_E_M","E_M","1","73.62","54",-42.019999999999996,5.3972895777016054,"10",6.09,2.6357543912777603,"18",20.740000000000002,4.383013015488671,"Neither agree nor disagree",0,"0","0","1","f",false,"0xd07c586e8691aa3D2086F26ACF7ad183adCf37b6","",false,false,6
"14/11/2021 07:59","14/11/2021 08:23","IP Address","213.205.241.238","100","1450","TRUE","14/11/2021 08:23","R_2dzpgZL5zizSszf","51.51199341","0.007598877","anonymous","EN",22,"electricity consumption","radio on","wiper on gte 1","h1v1",9,"hard","M","H","M","WHERE",38.83,34.02,29.35,-1,158,"M","WHERE_M_H","M_H","2","31.142","12",26.83,4.7524810044563734,"50",-15.979999999999997,4.00943675560809,"38",-8.649999999999999,3.1333991254171982,"Neither agree nor disagree",0,"1","0","0","f",false,"0xd07c586e8691aa3D2086F26ACF7ad183adCf37b6","",false,false,7
"14/11/2021 07:59","14/11/2021 08:23","IP Address","213.205.241.238","100","1450","TRUE","14/11/2021 08:23","R_2dzpgZL5zizSszf","51.51199341","0.007598877","anonymous","EN",67,"electricity consumption","wiper on","gps on gte 1","h1v1",9,"hard","H","H","H","WHERE",30.11,25.28,38.58,-1,242,"H","WHERE_H_H","H_H","4","61.245","42",-11.89,3.5867647433551415,"41",-15.719999999999999,3.985955754607509,"58",-19.42,4.288727679514566,"Disagree",1,"1","0","2","f",false,"0xd07c586e8691aa3D2086F26ACF7ad183adCf37b6","",false,false,8
"14/11/2021 08:31","14/11/2021 08:54","IP Address","89.168.130.155","100","1390","TRUE","14/11/2021 08:54","R_2ASvITF1bNzCjSX","51.49639893","-0.122406006","anonymous","EN",1,"electricity consumption","gps on","wiper on gte 1","h1v1",6,"medium","E","E","E","WHAT_Qn",35.07,42.6,25.15,1,18,"E","WHAT_Qn_E_M","E_M","3","102.344","31",4.07,2.0686708106650986,"44",-1.3999999999999986,0.6088092426755226,"23",2.1499999999999986,1.185866545311333,"Disagree",0,"4","3","4","f",false,"542e816cfdf99b324f763432","",false,false,9
